Days,Effective Precipitation (mm/day),Evapotranspiration (mm/day),Actual Evapotranspiration (mm/day),Storage (mm),Runoff (mm/day),Runoff in Area (m^3/day)
442,0.000000,0.000000,0.000000,284.779909,0.285065,294842.702185
443,0.000000,0.000000,0.000000,284.495129,0.284780,294547.859482
444,0.000000,0.000000,0.000000,284.210634,0.284495,294253.311623
445,3.200000,0.000000,0.000000,285.628218,0.284211,293959.058311
446,0.000000,0.819000,0.531072,287.680767,0.658321,680901.701540
447,0.000000,0.000000,0.000000,286.607255,1.073512,1110333.540535
448,2.100000,0.000000,0.000000,287.044627,0.801006,828480.170962
449,0.000000,0.351000,0.230764,288.393603,0.860930,890460.047625
450,0.000000,0.351000,0.232549,289.499330,1.121444,1159909.167605
451,0.000000,0.000000,0.000000,288.170851,1.328479,1374045.534705
452,0.000000,0.000000,0.000000,288.183484,1.000025,1034325.621047
453,0.000000,3.510000,2.352027,293.178623,0.966652,999807.728486
454,0.000000,6.435000,4.367591,300.667402,2.029466,2099076.606849
455,0.000000,7.488000,5.168893,307.982519,3.640917,3765800.514002
456,0.500000,9.009000,6.327073,303.258915,5.214199,5393045.694682
457,3.900000,10.881000,7.474624,301.169710,4.138998,4280965.370163
458,7.900000,1.170000,0.786602,301.589128,3.643401,3768369.260136
459,4.500000,1.287000,0.875477,300.231252,3.699737,3826637.614364
460,0.000000,4.563000,3.119191,296.866148,3.365104,3480526.685640
461,0.000000,5.499000,3.714398,294.277231,2.588917,2677716.443504
462,0.300000,13.104000,8.724694,292.446481,1.983527,2051561.549010
463,1.200000,13.221000,8.507545,291.491934,1.544969,1597961.480886
464,0.000000,9.360000,5.830705,290.192722,1.299212,1343774.829755
465,0.000000,11.232000,6.826454,289.215058,0.977664,1011198.150981
466,0.000000,8.307000,4.901192,288.488165,0.726893,751825.287754
467,0.000000,6.435000,3.714640,287.956838,0.531327,549551.363707
468,0.000000,4.446000,2.523510,287.669296,0.378821,391814.575310
469,0.000000,8.190000,4.594798,287.381627,0.287669,297536.353028
470,0.000000,12.636000,6.938059,287.094245,0.287382,297238.816675
471,0.000000,6.786000,3.603499,286.807151,0.287094,296941.577859
472,0.000000,9.594000,5.004653,286.520344,0.286807,296644.636281
473,0.000000,17.667000,8.985844,286.233824,0.286520,296347.991644
474,0.000000,12.285000,5.961222,285.947590,0.286234,296051.643653
475,0.000000,19.890000,9.343014,285.661642,0.285948,295755.592009
476,6.300000,16.146000,7.191845,287.063742,0.285662,295459.836417
477,0.000000,4.797000,2.098896,286.407059,0.656684,679207.823500
478,6.700000,11.934000,5.156474,288.135615,0.476161,492492.835801
479,26.300000,6.435000,2.769382,295.934727,0.820426,848567.009598
480,4.300000,1.287000,0.603806,294.972121,2.500250,2586008.895694
481,0.700000,3.393000,1.610907,292.972930,2.252532,2329794.351432
482,13.100000,8.775000,4.139558,295.906670,1.776802,1837745.947638
483,1.700000,5.499000,2.654927,294.146083,2.386352,2468203.631216
484,1.600000,3.978000,1.904226,292.766786,1.963186,2030523.022485
485,1.200000,5.967000,2.842551,291.578628,1.623939,1679640.387227
486,0.800000,7.488000,3.526632,290.539039,1.326779,1372287.799474
487,1.800000,7.371000,3.413731,290.112012,1.062340,1098778.506087
488,2.400000,5.265000,2.407571,290.015587,0.932701,964692.202887
489,1.000000,4.212000,1.916809,289.486516,0.875829,905869.933600
490,0.000000,8.190000,3.700204,288.762705,0.723811,748637.799881
491,0.000000,10.647000,4.707766,288.233719,0.528986,547130.079919
492,0.400000,11.700000,5.030061,287.945891,0.377058,389990.865752
493,0.500000,7.371000,3.077633,287.657945,0.287946,297822.435173
494,0.000000,21.177000,8.691310,287.370287,0.287658,297524.612738
495,0.000000,20.124000,7.804085,287.082917,0.287370,297227.088125
496,0.800000,20.943000,7.696457,286.795834,0.287083,296929.861037
497,0.000000,14.742000,5.144528,286.509038,0.286796,296632.931176
498,0.000000,7.488000,2.512867,286.222529,0.286509,296336.298245
499,7.000000,5.031000,1.655441,287.235692,0.286223,296039.961946
500,4.600000,10.530000,3.563371,287.846498,0.571801,591413.915296
501,0.500000,12.051000,4.073504,287.304648,0.670249,693238.043705
502,0.000000,3.861000,1.267916,286.789501,0.515148,532817.066145
503,0.000000,7.488000,2.434287,286.503073,0.365957,378509.253038
504,0.000000,14.742000,4.699134,286.216570,0.286503,296330.128223
505,0.000000,6.786000,2.080127,285.930353,0.286217,296033.798095
506,0.000000,9.828000,2.959409,285.644423,0.285930,295737.764297
507,0.000000,24.219000,7.106349,285.358778,0.285644,295442.026532
508,0.500000,9.945000,2.734192,285.073420,0.285359,295146.584506
509,0.400000,14.274000,3.837526,284.788346,0.285073,294851.437921
510,0.300000,14.040000,3.646070,284.503558,0.284788,294556.586483
511,0.000000,22.581000,5.664043,284.219054,0.284504,294262.029897
512,0.100000,10.530000,2.486088,283.934835,0.284219,293967.767867
513,2.900000,23.400000,5.378283,283.705324,0.283935,293673.800099
514,6.000000,18.486000,4.105386,284.022176,0.295624,305764.074478
515,0.100000,12.402000,2.782853,283.623621,0.415532,429785.071836
516,0.000000,23.517000,5.111728,283.340033,0.291370,301363.493297
517,0.000000,10.296000,2.101038,283.056693,0.283340,293058.596046
518,0.000000,24.219000,4.809824,282.773636,0.283057,292765.537450
519,0.000000,14.040000,2.612606,282.490863,0.282774,292472.771913
520,0.000000,24.336000,4.363095,282.208372,0.282491,292180.299141
521,0.000000,15.093000,2.534626,281.926163,0.282208,291888.118842
522,2.900000,23.166000,3.737587,281.644237,0.281926,291596.230723
523,0.000000,36.504000,5.776470,281.362593,0.281644,291304.634492
524,0.100000,16.965000,2.429609,281.081230,0.281363,291013.329858
525,0.200000,42.120000,5.775657,280.800149,0.281081,290722.316528
526,0.300000,27.261000,3.341205,280.519349,0.280800,290431.594211
527,0.000000,21.177000,2.426441,280.238830,0.280519,290141.162617
528,2.100000,35.568000,3.850806,279.958591,0.280239,289851.021455
529,1.600000,31.941000,3.298436,279.678632,0.279959,289561.170433
530,3.500000,25.623000,2.524502,279.398954,0.279679,289271.609263
531,15.100000,17.667000,1.773583,279.807282,0.279399,288982.337653
532,1.200000,13.455000,1.777430,279.496167,0.430420,445183.019121
533,3.300000,22.581000,2.942058,279.250886,0.324551,335683.470389
534,0.800000,20.241000,2.638993,278.971669,0.286699,296532.761178
535,0.500000,15.444000,1.936519,278.692697,0.278972,288540.397029
536,0.000000,9.009000,1.094860,278.414004,0.278693,288251.856632
537,0.000000,10.764000,1.277482,278.135590,0.278414,287963.604775
538,0.800000,29.484000,3.401193,277.857455,0.278136,287675.641171
539,0.000000,17.901000,1.940631,277.579597,0.277857,287387.965529
540,0.000000,24.570000,2.539555,277.302018,0.277580,287100.577564
541,0.000000,26.091000,2.524373,277.024716,0.277302,286813.476986
542,0.000000,36.972000,3.334312,276.747691,0.277025,286526.663509
543,0.000000,39.780000,3.242455,276.470943,0.276748,286240.136846
544,0.000000,42.003000,3.069308,276.194472,0.276471,285953.896709
545,0.000000,16.380000,1.066140,275.918278,0.276194,285667.942812
546,0.000000,27.378000,1.706034,275.642360,0.275918,285382.274869
547,0.000000,19.890000,1.151140,275.366717,0.275642,285096.892595
548,0.000000,17.550000,0.963150,275.091351,0.275367,284811.795702
549,0.000000,12.285000,0.643420,274.816259,0.275091,284526.983906
550,0.000000,31.590000,1.601625,274.541443,0.274816,284242.456922
551,1.200000,17.433000,0.811215,274.266902,0.274541,283958.214465
552,0.500000,18.837000,0.893564,273.992635,0.274267,283674.256251
553,0.000000,19.890000,0.922234,273.718642,0.273993,283390.581995
554,0.000000,17.550000,0.771626,273.444923,0.273719,283107.191413
555,0.100000,12.051000,0.505656,273.171478,0.273445,282824.084221
556,0.000000,19.890000,0.813424,272.898307,0.273171,282541.260137
557,0.000000,21.996000,0.853000,272.625409,0.272898,282258.718877
558,0.000000,39.312000,1.437265,272.352783,0.272625,281976.460158
559,0.000000,18.369000,0.602890,272.080430,0.272353,281694.483698
560,0.000000,27.261000,0.851973,271.808350,0.272080,281412.789214
561,9.800000,46.332000,1.345287,271.536542,0.271808,281131.376425
562,7.800000,32.058000,1.618424,271.265005,0.271537,280850.245049
563,70.400000,41.067000,2.702358,274.006009,0.271265,280569.394804
564,14.700000,37.206000,8.666377,275.663927,0.933693,965718.460779
565,4.900000,33.696000,8.150553,275.302116,1.259232,1302424.062634
566,0.000000,21.645000,5.002003,274.161645,1.140471,1179588.999595
567,0.000000,16.380000,3.572129,273.311202,0.850443,879613.460926
568,0.200000,29.835000,6.229096,272.718511,0.624261,645673.006723
569,0.000000,39.546000,7.633025,272.263688,0.454823,470423.620780
570,0.000000,12.987000,2.248789,271.991623,0.315755,326585.741969
571,8.700000,25.623000,4.286885,272.367681,0.271992,281320.935730
572,1.700000,18.135000,3.190512,272.179126,0.414290,428500.625066
573,13.100000,18.720000,3.209841,273.371485,0.333765,345213.214228
574,0.600000,15.795000,3.045087,272.864826,0.594044,614419.309918
575,0.000000,22.581000,4.204563,272.421250,0.443576,458791.114984
576,0.000000,14.508000,2.542669,272.148986,0.307026,317557.313299
577,0.000000,31.005000,5.228819,271.876837,0.272149,281483.696687
578,0.600000,28.080000,4.353528,271.604961,0.271877,281202.212990
579,0.000000,39.780000,5.771756,271.333356,0.271605,280921.010777
580,0.000000,38.142000,4.961324,271.062022,0.271333,280640.089766
581,0.000000,39.663000,4.647189,270.790960,0.271062,280359.449677
582,5.600000,24.219000,2.544834,270.520169,0.270791,280079.090227
583,0.000000,29.835000,3.337797,270.249649,0.270520,279799.011137
584,0.000000,24.570000,2.535403,269.979400,0.270250,279519.212126
585,0.000000,33.462000,3.232244,269.709420,0.269979,279239.692913
586,0.000000,38.727000,3.415137,269.439711,0.269709,278960.453221
587,0.000000,14.157000,1.122643,269.170271,0.269440,278681.492767
588,3.700000,27.144000,2.073222,268.901101,0.269170,278402.811275
589,1.400000,13.221000,1.058484,268.632200,0.268901,278124.408463
590,8.400000,30.771000,2.484173,268.421429,0.268632,277846.284055
591,4.100000,32.877000,3.116782,268.153066,0.281093,290734.648507
592,1.800000,21.411000,2.068320,267.884913,0.268153,277350.715745
593,0.000000,18.369000,1.755402,267.617028,0.267885,277073.365030
594,0.000000,18.369000,1.671508,267.349411,0.267617,276796.291665
595,0.000000,21.294000,1.845067,267.082061,0.267349,276519.495373
